Fundamentals of Computer Science,CSC 101,4 units,Graded,"F, W, SP",Appropriate Math Placement Level; or MATH 117 with a grade of C- or better; or MATH 118 with a grade of C- or better; or consent of instructor
Fundamentals of Computer Science I Supplemental Instruction,CSC 105,1 unit,CR/NC,TBDConcurrent: CPE/CSC 101.,
Accelerated Introduction to Computer Science,CSC 108,4 units,Graded,TBD,"MATH 118 (or equivalent) with a grade of C- or better, significant experience in computer programming, and consent of instructor"
Introduction to Computing,CSC 123,4 units,Graded,F,Basic computer literacy
Introduction to Interactive Entertainment,CSC 171,4 units,Graded,TBD,
Special Problems for Undergraduates,CSC 200,1-2 units,Graded,"F, W, SP",Consent of instructor
Data Structures,CSC 202,4 units,Graded,"F, W, SP",CPE/CSC 101 with a grade of C- or better; MATH 141 or MATH 221 with a grade of C- or better; or consent of instructor
Project-Based Object-Oriented Programming and Design,CSC 203,4 units,Graded,"F, W, SP",CPE/CSC 202 with a grade of C- or better or consent of instructor
Problem Solving with Computers,CSC 209,1 unit,CR/NC,TBD,"CSC/CPE 101 or CSC/CPE 108 with a grade of C- or better, or consent of instructor"
Introduction to Computer Organization,CSC 225,4 units,Graded,"F, W, SP",CSC/CPE 202
Programming for Engineering Students,CSC 231,2 units,Graded,"F, W, SP",MATH 142; PHYS 121 or PHYS 131 or PHYS 141
Computer Programming for Scientists and Engineers,CSC 232,3 units,Graded,"F, W",MATH 118 or equivalent
C and Unix,CSC 234,3 units,Graded,W,MATH 142
Fundamentals of Computer Science for Scientists and Engineers I,CSC 235,4 units,Graded,TBD,"MATH 141 or MATH 161 with a grade of C- or better, or consent of instructor"
Fundamentals of Computer Science for Scientists and Engineers II,CSC 236,4 units,Graded,TBD,"CSC 235 with a grade of C- or better, or consent of instructor"
Selected Topics,CSC 290,1-4 units,Graded,TBD,Open to undergraduate students and consent of instructor
Professional Responsibilities,CSC 300,4 units,Graded,"F, W, SP",CSC/CPE 357 and junior standing
Personal Software Process,CSC 301,4 units,Graded,TBD,"CSC/CPE 102 and CSC/CPE 103, or CSC/CPE 202 and CSC/CPE 203"
Computers and Society,CSC 302,4 units,Graded,F,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4"
Teaching Computer Science,CSC 303,2 units,Graded,TBD,"CSC/CPE 102 and CSC/CPE 103, with a grade of C- or better or consent of instructor, or CSC/CPE 202 and CSC/CPE 203, with a grade of C- or better or consent of instructor"
Individual Software Design and Development,CSC 305,4 units,Graded,W,CSC/CPE 357
Introduction to Software Engineering,CSC 307,4 units,Graded,"F, SP",CSC 141 or CSC 348; and CPE/CSC 357
Software Engineering I,CSC 308,4 units,Graded,"F, W",CSC 141 or CSC 348
Software Engineering II,CSC 309,4 units,Graded,"W, SP",CSC 308 and CSC/CPE 357
Computers for Poets,CSC 310,4 units,Graded,TBD,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4"
Computational Art,CSC 311,4 units,Graded,TBD,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4"
Teaching Computing,CSC 313,4 units,Graded,SP,CPE/CSC 202
Practical Computer Security for Everyone,CSC 320,4 units,Graded,TBD,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4"
Introduction to Computer Security,CSC 321,4 units,Graded,TBD,CPE/CSC 357
Cryptography Engineering,CSC 323,4 units,Graded,W,CPE/CSC 357
Introduction to Privacy: Policy and Technology,CSC 325,4 units,Graded,W,CSC 300
Music Programming,CSC 344,4 units,Graded,TBD,CSC 141 or CSC 348; and CPE/CSC 357
Discrete Structures,CSC 348,4 units,Graded,"F, W, SP","CSC/CPE 102 and CSC/CPE 103, with a grade of C- or better or consent of instructor, or CSC/CPE 202 and CSC/CPE 203, with a grade of C- or better or consent of instructor"
Design and  Analysis of Algorithms,CSC 349,4 units,Graded,"F, SP",CSC 141 and MATH 142; or CSC 348 and MATH 142; or CPE/CSC 102 and CPE/ CSC 103 and MATH 248; or CPE/CSC 202 and CPE/ CSC 203 and MATH 248
Computing for Interactive Arts Capstone I,CSC 350,2 units,Graded,TBD,ART 384; CSC/CPE 103 or CSC/CPE 202; and junior standing
Systems Programming,CSC 357,4 units,Graded,"F, W, SP","CSC/CPE 102 and CSC/CPE 103 with a grade of C- or better or consent of instructor, or CSC/CPE 202 and CSC/CPE 203 with a grade of C- or better or consent of instructor; and CSC 225 or CPE/EE 229 or CPE/EE 233"
Introduction to Database Systems,CSC 365,4 units,Graded,"F, W, SP",CSC 141; or CSC 348; or CPE/CSC 102 and CPE/CSC 103 and MATH 248; or CPE/CSC 202 and CPE/CSC 203 and MATH 248
"Database Modeling, Design and Implementation",CSC 366,4 units,Graded,SP,CSC 365
Introduction to Distributed Computing,CSC 369,4 units,Graded,"F, W","CSC/CPE 102 and CSC/CPE 103, or CSC/CPE 202 and CSC/CPE 203; and one of the following: STAT 301, STAT 312, STAT 321 or STAT 350"
Game Design,CSC 371,4 units,Graded,"W, SP",CSC/CPE 102 and CSC/CPE 103; or CSC/CPE 202 and junior standing
Introduction to Mixed Reality,CSC 377,4 units,Graded,SP,CPE/CSC 202
Interactive Entertainment Engineering,CSC 378,4 units,Graded,W,"CPE/CSC 102 and CPE/CSC 103, or CPE/CSC 202 and junior standing"
Special Problems,CSC 400,1-4 units,Graded,"F, W, SP",Consent of instructor
Software Requirements Engineering,CSC 402,4 units,Graded,F,CSC 307 or CSC 309
Software Construction,CSC 405,4 units,Graded,W,CSC 305 and CSC 402
Senior Project - Software Deployment,CSC 406,4 units,Graded,SP,CSC 405
Current Topics in Software Engineering,CSC 409,4 units,Graded,TBD,CSC 307 or CSC 309
Software Evaluation,CSC 410,4 units,Graded,TBD,"CSC 349; STAT 301, STAT 312, STAT 321 or STAT 350"
Network and Web Security,CSC 422,4 units,Graded,W,CPE 464
Software Security,CSC 424,4 units,Graded,W,CPE/CSC 307 or CPE/CSC 309; CPE/CSC 321
Current Topics in Computer Security,CSC 429,4 units,Graded,TBD,CPE/CSC 321 and CPE/CSC 357
Programming Languages,CSC 430,4 units,Graded,"F, W, SP",CSC 349 and CSC/CPE 357
Compiler Construction,CSC 431,4 units,Graded,SP,CSC 430
Introduction to Object Oriented Design Using Graphical User Interfaces,CSC 435,4 units,Graded,TBD,CSC 305
Mobile Application Development,CSC 436,4 units,Graded,"F, W, SP",CSC/CPE 357
Dynamic Web Development,CSC 437,4 units,Graded,SP,CPE/CSC 357 with a grade of C- or better and CSC 365 with a grade of C- or better; or consent of instructor
Theory of Computation I,CSC 445,4 units,Graded,"F, W, SP",CSC 141 or CSC 348
Bioinformatics Algorithms,CSC 448,4 units,Graded,F,CSC 349
