ClassID,ClassName,Units,Credit,Terms,Prereqs,id
CSC 101,"Fundamentals of Computer Science","4 units",Graded,"F, W, SP","MATH 117 || MATH 118",1
CSC 105,"Fundamentals of Computer Science I Supplemental Instruction","1 unit",CR/NC,TBD,CPE/CSC 101,2
CSC 108,"Accelerated Introduction to Computer Science","4 units",Graded,TBD,MATH 118,3
CSC 123,"Introduction to Computing","4 units",Graded,F,,4
CSC 171,"Introduction to Interactive Entertainment","4 units",Graded,TBD,,5
CSC 200,"Special Problems for Undergraduates","1-2 units",Graded,"F, W, SP",,6
CSC 202,"Data Structures","4 units",Graded,"F, W, SP","CPE/CSC 101 && (MATH 141 || MATH 221)",7
CSC 203,"Project-Based Object-Oriented Programming and Design","4 units",Graded,"F, W, SP",CPE/CSC 202,8
CSC 209,"Problem Solving with Computers","1 unit",CR/NC,TBD,"CSC/CPE 101 || CSC/CPE 108",9
CSC 225,"Introduction to Computer Organization","4 units",Graded,"F, W, SP",CSC/CPE 202,10
CSC 231,"Programming for Engineering Students","2 units",Graded,"F, W, SP","MATH 142 && (PHYS 121 || PHYS 131 || PHYS 141)",11
CSC 232,"Computer Programming for Scientists and Engineers","3 units",Graded,"F, W",MATH 118,12
CSC 234,"C and Unix","3 units",Graded,W,MATH 142,13
CSC 235,"Fundamentals of Computer Science for Scientists and Engineers I","4 units",Graded,TBD,"MATH 141 || MATH 161",14
CSC 236,"Fundamentals of Computer Science for Scientists and Engineers II","4 units",Graded,TBD,CSC 235,15
CSC 290,"Selected Topics","1-4 units",Graded,TBD,,16
CSC 300,"Professional Responsibilities","4 units",Graded,"F, W, SP",CSC/CPE 357,17
CSC 301,"Personal Software Process","4 units",Graded,TBD,"(CSC/CPE 102 && CSC/CPE 103) || (CSC/CPE 202 && CSC/CPE 203)",18
CSC 302,"Computers and Society","4 units",Graded,F,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4",19
CSC 303,"Teaching Computer Science","2 units",Graded,TBD,"(CSC/CPE 102 && CSC/CPE 103) || (CSC/CPE 202 && CSC/CPE 203)",20
CSC 305,"Individual Software Design and Development","4 units",Graded,W,CSC/CPE 357,21
CSC 307,"Introduction to Software Engineering","4 units",Graded,"F, SP","(CSC 141 || CSC 348) && CPE/CSC 357",22
CSC 308,"Software Engineering I","4 units",Graded,"F, W","CSC 141 || CSC 348",23
CSC 309,"Software Engineering II","4 units",Graded,"W, SP","CSC 308 && CSC/CPE 357",24
CSC 310,"Computers for Poets","4 units",Graded,TBD,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4",25
CSC 311,"Computational Art","4 units",Graded,TBD,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4",26
CSC 313,"Teaching Computing","4 units",Graded,SP,CPE/CSC 202,27
CSC 320,"Practical Computer Security for Everyone","4 units",Graded,TBD,"Junior standing; completion of GE Area A with grades of C- or better; completion of GE Area B1 with a grade of C- or better in at least one of the courses; and completion of GE Areas B2, B3, and B4",28
CSC 321,"Introduction to Computer Security","4 units",Graded,TBD,CPE/CSC 357,29
CSC 323,"Cryptography Engineering","4 units",Graded,W,CPE/CSC 357,30
CSC 325,"Introduction to Privacy: Policy and Technology","4 units",Graded,W,CSC 300,31
CSC 344,"Music Programming","4 units",Graded,TBD,"(CSC 141 || CSC 348) && CPE/CSC 357",32
CSC 348,"Discrete Structures","4 units",Graded,"F, W, SP","(CSC/CPE 102 && CSC/CPE 103) ||  (CSC/CPE 202 && CSC/CPE 203)",33
CSC 349,"Design and Analysis of Algorithms","4 units",Graded,"F, SP","(CSC 141 && MATH 142) || (CSC 348 && MATH 142) || (CPE/CSC 102 && CPE/CSC 103 && MATH 248) || (CPE/CSC 202 && CPE/ CSC 203 && MATH 248)",34
CSC 350,"Computing for Interactive Arts Capstone I","2 units",Graded,TBD,"ART 384 && (CSC/CPE 103 || CSC/CPE 202)",35
CSC 357,"Systems Programming","4 units",Graded,"F, W, SP","((CSC/CPE 102 && CSC/CPE 103) || (CSC/CPE 202 && CSC/CPE 203)) && (CSC 225 || CPE/EE 229 || CPE/EE 233)",36
CSC 365,"Introduction to Database Systems","4 units",Graded,"F, W, SP","CSC 141 || CSC 348 || (CPE/CSC 102 && CPE/CSC 103 && MATH 248) || (CPE/CSC 202 && CPE/CSC 203 && MATH 248)",37
CSC 366,"Database Modeling, Design and Implementation","4 units",Graded,SP,CSC 365,38
CSC 369,"Introduction to Distributed Computing","4 units",Graded,"F, W","((CSC/CPE 102 && CSC/CPE 103) || (CSC/CPE 202 && CSC/CPE 203)) && (STAT 301 || STAT 312 || STAT 321 || STAT 350)",39
CSC 371,"Game Design","4 units",Graded,"W, SP","(CSC/CPE 102 && CSC/CPE 103) || CSC/CPE 202",40
CSC 377,"Introduction to Mixed Reality","4 units",Graded,SP,CPE/CSC 202,41
CSC 378,"Interactive Entertainment Engineering","4 units",Graded,W,"(CPE/CSC 102 && CPE/CSC 103) || CPE/CSC 202",42
CSC 400,"Special Problems","1-4 units",Graded,"F, W, SP",,43
CSC 402,"Software Requirements Engineering","4 units",Graded,F,"CSC 307 || CSC 309",44
CSC 405,"Software Construction","4 units",Graded,W,"CSC 305 && CSC 402",45
CSC 406,"Senior Project - Software Deployment","4 units",Graded,SP,CSC 405,46
CSC 409,"Current Topics in Software Engineering","4 units",Graded,TBD,"CSC 307 || CSC 309",47
CSC 410,"Software Evaluation","4 units",Graded,TBD,"CSC 349 && (STAT 301 || STAT 312 || STAT 321 || STAT 350)",48
CSC 422,"Network and Web Security","4 units",Graded,W,CPE 464,49
CSC 424,"Software Security","4 units",Graded,W,"(CPE/CSC 307 || CPE/CSC 309) && CPE/CSC 321",50
CSC 429,"Current Topics in Computer Security","4 units",Graded,TBD,"CPE/CSC 321 && CPE/CSC 357",51
CSC 430,"Programming Languages","4 units",Graded,"F, W, SP","CSC 349 && CSC/CPE 357",52
CSC 431,"Compiler Construction","4 units",Graded,SP,CSC 430,53
CSC 435,"Introduction to Object Oriented Design Using Graphical User Interfaces","4 units",Graded,TBD,CSC 305,54
CSC 436,"Mobile Application Development","4 units",Graded,"F, W, SP",CSC/CPE 357,55
CSC 437,"Dynamic Web Development","4 units",Graded,SP,"CPE/CSC 357 && CSC 365",56
CSC 445,"Theory of Computation I","4 units",Graded,"F, W, SP","CSC 141 || CSC 348",57
CSC 448,"Bioinformatics Algorithms","4 units",Graded,F,CSC 349,58
CSC 450,"Computing for Interactive Arts Capstone II","2 units",Graded,TBD,ART/CSC 350,59
CSC 453,"Introduction to Operating Systems","4 units",Graded,"F, W, SP","CSC/CPE 357 && (CSC/CPE 225 || CPE/EE 229 || CPE/EE 233)",60
CSC 454,"Implementation of Operating Systems","4 units",Graded,TBD,CSC/CPE 453,61
CSC 458,"Current Topics in Computer Systems","4 units",Graded,TBD,CSC/CPE 357,62
CSC 466,"Knowledge Discovery from Data","4 units",Graded,"F, SP","CSC 349 && (STAT 302 || STAT 312 || STAT 321 || STAT 350)",63
CSC 468,"Database Management Systems Implementation","4 units",Graded,SP,CSC 365,64
CSC 469,"Distributed Systems","4 units",Graded,TBD,CSC/CPE 357,65
CSC 471,"Introduction to Computer Graphics","4 units",Graded,TBD,CPE/CSC 357,66
CSC 473,"Advanced Rendering Techniques","4 units",Graded,TBD,CSC/CPE 471,67
CSC 474,"Computer Animation","4 units",Graded,SP,CSC/CPE 471,68
CSC 476,"Real-Time 3D Computer Graphics Software","4 units",Graded,SP,CSC/CPE 471,69
CSC 477,"Scientific and Information Visualization","4 units",Graded,F,CSC 349,70
CSC 478,"Current Topics in Computer Graphics","4 units",Graded,TBD,CSC/CPE 471,71
CSC 480,"Artificial Intelligence","4 units",Graded,"F, SP","(CSC/CPE 102 && CSC/CPE 103) || CSC/CPE 202",72
CSC 481,"Knowledge Based Systems","4 units",Graded,SP,CSC 480,73
CSC 482,"Speech and Language Processing","4 units",Graded,"F, W","CSC 466 || CSC 480",74
CSC 483,"Current Topics in Human-Computer Interaction","4 units",Graded,TBD,CSC 484,75
CSC 484,"User-Centered Interface Design and Development","4 units",Graded,"F, W, SP","CSC 307 || CSC 308",76
CSC 486,"Human-Computer Interaction Theory and Design","4 units",Graded,SP,CSC 484,77
CSC 487,"Deep Learning","4 units",Graded,F,"CSC 349 && (MATH 206 || MATH 244)",78
CSC 489,"Current Topics in Artificial Intelligence","4 units",Graded,SP,CSC 480,79
