Title,ClassNo,Type,Instructor,Days,StartTime,EndTime,Location,MaxCapacity,Enrolled,Waitlist
CPE-101-01-2194,6873,Lec,"Einakian, S",MWF,08:10 AM,09:00 AM,N/A,30,21,1
CPE-101-02-2194,6874,Lab,"Einakian, S",MWF,09:10 AM,10:00 AM,N/A,30,21,1
CPE-101-03-2194,6875,Lec,"Workman, J",MWF,09:10 AM,10:00 AM,N/A,30,37,8
CPE-101-04-2194,6876,Lab,"Workman, J",MWF,10:10 AM,11:00 AM,N/A,30,37,8
CPE-101-05-2194,6877,Lec,"Einakian, S",MWF,10:10 AM,11:00 AM,N/A,30,28,0
CPE-101-06-2194,6878,Lab,"Einakian, S",MWF,11:10 AM,12:00 PM,N/A,30,28,0
CPE-101-07-2194,6879,Lec,"Workman, J",MWF,11:10 AM,12:00 PM,N/A,30,34,6
CPE-101-08-2194,6880,Lab,"Workman, J",MWF,12:10 PM,01:00 PM,N/A,30,34,6
CPE-101-09-2194,6881,Lec,"Einakian, S",MWF,12:10 PM,01:00 PM,N/A,30,27,0
CPE-101-10-2194,6882,Lab,"Einakian, S",MWF,01:10 PM,02:00 PM,N/A,30,27,0
CPE-101-11-2194,6883,Lec,"Workman, J",MWF,01:10 PM,02:00 PM,N/A,30,32,0
CPE-101-12-2194,6884,Lab,"Workman, J",MWF,02:10 PM,03:00 PM,N/A,30,32,0
CPE-101-13-2194,7374,Lec,"Turner, C",MWF,04:10 PM,05:00 PM,N/A,30,26,1
CPE-101-14-2194,7375,Lab,"Turner, C",MWF,05:10 PM,06:00 PM,N/A,30,26,1
CPE-101-15-2194,7508,Lec,"Turner, C",MWF,06:10 PM,07:00 PM,N/A,30,28,0
CPE-101-16-2194,7509,Lab,"Turner, C",MWF,07:10 PM,08:00 PM,N/A,30,28,0
CPE-101-17-2194,8053,Lec,"Kauffman, D",TR,09:40 AM,11:00 AM,N/A,30,32,1
CPE-101-18-2194,8054,Lab,"Kauffman, D",TR,12:10 PM,01:30 PM,N/A,30,32,1
CPE-101-19-2194,8055,Lec,"Kauffman, D",TR,01:40 PM,03:00 PM,N/A,30,31,3
CPE-101-20-2194,8056,Lab,"Kauffman, D",TR,03:10 PM,04:30 PM,N/A,30,31,3
CPE-133-01-2194,3748,Lec,"Botros, N",MWF,10:10 AM,11:00 AM,N/A,28,25,0
CPE-133-02-2194,3749,Lab,"Botros, N",MWF,11:10 AM,12:00 PM,N/A,28,25,0
CPE-133-03-2194,4887,Lec,"Botros, N",MWF,03:10 PM,04:00 PM,N/A,28,15,0
CPE-133-04-2194,4888,Lab,"Botros, N",MWF,04:10 PM,05:00 PM,N/A,28,15,0
CPE-133-07-2194,4889,Lec,"Perks, G",TR,12:10 PM,01:30 PM,N/A,28,26,0
CPE-133-08-2194,4890,Lab,"Perks, G",TR,01:40 PM,03:00 PM,N/A,28,26,0
CPE-133-09-2194,7044,Lec,"Perks, G",TR,03:10 PM,04:30 PM,N/A,28,28,0
CPE-133-10-2194,7045,Lab,"Perks, G",TR,04:40 PM,06:00 PM,N/A,28,28,0
CPE-200-01-2194,1427,Ind,"Oliver, J",N/A,N/A,N/A,N/A,35,0,0
CPE-200-02-2194,2562,Ind,N/A,N/A,N/A,N/A,N/A,35,0,0
CPE-200-03-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-200-04-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-200-05-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-200-06-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,34,1
CPE-200-07-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,34,1
CPE-200-08-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,30,2
CPE-200-09-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,30,2
CPE-200-10-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,34,2
CPE-200-11-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,34,2
CPE-200-12-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,34,0
CPE-200-13-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,34,0
CPE-200-14-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,33,1
CPE-200-15-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,33,1
CPE-200-16-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,29,2
CPE-200-17-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,29,2
CPE-202-01-2194,6890,Lec,"Parkinson, D",MWF,08:10 AM,09:00 AM,N/A,30,30,2
CPE-202-02-2194,6891,Lab,"Parkinson, D",MWF,09:10 AM,10:00 AM,N/A,30,30,2
CPE-202-03-2194,6892,Lec,"Hatalsky, P",MWF,09:10 AM,10:00 AM,N/A,35,34,3
CPE-202-04-2194,6893,Lab,"Hatalsky, P",MWF,10:10 AM,11:00 AM,N/A,35,34,3
CPE-202-05-2194,6894,Lec,"Hatalsky, P",MWF,11:10 AM,12:00 PM,N/A,N/A,36,35
CPE-202-06-2194,6895,Lab,"Hatalsky, P",MWF,12:10 PM,01:00 PM,N/A,12,35,35
CPE-202-07-2194,6896,Lec,"Hatalsky, P",MWF,01:10 PM,02:00 PM,N/A,12,40,24
CPE-202-08-2194,6897,Lab,"Hatalsky, P",MWF,02:10 PM,03:00 PM,N/A,6,40,24
CPE-202-09-2194,6898,Lec,"Kuboi, T",MWF,02:10 PM,03:00 PM,N/A,6,40,24
CPE-202-10-2194,6899,Lab,"Kuboi, T",MWF,03:10 PM,04:00 PM,N/A,1,40,24
CPE-202-11-2194,6900,Lec,"Humer, I",TR,01:40 PM,03:00 PM,N/A,1,24,24
CPE-202-12-2194,6901,Lab,"Humer, I",TR,03:10 PM,04:30 PM,N/A,2,24,24
CPE-202-13-2194,6902,Lec,"Humer, I",TR,04:40 PM,06:00 PM,N/A,2,35,35
CPE-202-14-2194,6903,Lab,"Humer, I",TR,06:10 PM,07:30 PM,N/A,14,16,35
CPE-203-01-2194,6811,Lec,"Foote, W",TR,04:40 PM,06:00 PM,N/A,14,36,35
CPE-203-02-2194,6812,Lab,"Foote, W",TR,06:10 PM,07:30 PM,N/A,17,16,35
CPE-203-05-2194,****,Lec,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A
CPE-203-06-2194,****,Lab,N/A,N/A,N/A,N/A,N/A,24,27,29
CPE-233-01-2194,8717,Lec,"Humer, I",TR,09:40 AM,11:00 AM,N/A,24,27,29
CPE-233-02-2194,8718,Lab,"Humer, I",TR,12:10 PM,01:30 PM,N/A,40,28,31
CPE-233-03-2194,3411,Lec,"Benson, B",TR,08:10 AM,09:30 AM,N/A,40,28,31
CPE-233-04-2194,3412,Lab,"Benson, B",TR,09:40 AM,11:00 AM,N/A,24,28,15
CPE-233-05-2194,6754,Lec,"Benson, B",TR,12:10 PM,01:30 PM,N/A,24,28,15
CPE-233-06-2194,6755,Lab,"Benson, B",TR,01:40 PM,03:00 PM,N/A,16,32,32
CPE-315-01-2194,8689,Lec,"Callenes-Sloan, J",TR,03:10 PM,04:30 PM,N/A,16,32,32
CPE-315-02-2194,8690,Lab,"Callenes-Sloan, J",TR,04:40 PM,06:00 PM,N/A,24,28,29
CPE-315-03-2194,6767,Lec,"Seng, J",MWF,11:10 AM,12:00 PM,N/A,24,28,29
CPE-315-04-2194,6768,Lab,"Seng, J",MWF,12:10 PM,01:00 PM,N/A,24,28,14
CPE-321-01-2194,6769,Lec,"Seng, J",MWF,02:10 PM,03:00 PM,N/A,24,28,14
CPE-321-02-2194,6770,Lab,"Seng, J",MWF,03:10 PM,04:00 PM,N/A,40,28,25
CPE-329-01-2194,****,Lec,N/A,N/A,N/A,N/A,N/A,40,28,25
